ospcomp,uspcomp,nchar
Mr  20Mh  10Aw  10Iw  10Be  10Ow  10Ab  10Pt  10Bd  10, ,54
Sw  20PO  10Bd  10Bw  10Mh  10He  10Mr  10Aw  10Bf  10,,54
Mr  30Aw  10Bw  10Mh  10By  10Cw  10Bd  10Sw  10,,48
Pt  30Pb  10Pw  10He  10Bf  10Ab  10Ew  10Mr  10, ,48
Pw  20Mr  20Sw  10Bf  10Pr  10Bw  10Cw  10By  10, ,48
Mr  30Pt  10Bf  10Aw  10Ow  10Ab  10Bw  10Sw  10, ,48
Mh  20Mr  20Be  10He  10Ab  10Aw  10Bd  10Iw  10, ,48
Bf  20PO  20Mr  10Mh  10Sw  10He  10Bw  10Cw  10,,48
By  20Mr  20Or  10Pw  10Bw  10Cw  10Ab  10Sw  10, ,48
Mr  30Mh  10Pt  10Bd  10Pw  10Ew  10Iw  10Be  10, ,48
Pt  30Pj  20Bw  10Or  10Sb  10Pw  10Mr  10, ,42
Sb  40Pw  10Pj  10Pt  10Bf  10Cw  10Sw  10, ,42
Mr  30Mh  20By  10Aw  10Bw  10Sw  10PO  10,,42
Mh  30By  20Bf  10Pw  10Mr  10Pt  10Cb  10, ,42
Mh  40Or  10He  10Mr  10By  10Cb  10Pt  10, ,42
Pt  30Mr  20Bw  10Sb  10Sw  10Pw  10Bf  10, ,42
Pw  20Bw  20Pj  20Pr  10Mr  10Pt  10Sb  10,NA,42
Pw  30Mr  20Cw  10Sw  10Bf  10Pt  10By  10,,42
Bw  20Sb  20Pt  20Mr  10Bf  10Sw  10Pw  10, ,42
Ab  30Mh  20Mr  10He  10Bd  10Pt  10Aw  10, ,42
Bw  30Cw  20Mh  10Sw  10By  10Bf  10Sb  10, ,42
He  30Mh  20Pw  10Bw  10Cw  10Mr  10By  10,,42
Bw  30Sb  20Cw  10Pt  10Sw  10Bf  10Mr  10, ,42
Mr  30Or  20Mh  10Ab  10PO  10Pw  10He  10,,42
Mr  30Pt  20Ab  10Pw  10Mh  10Or  10Ew  10, ,42
Bw  40Pw  10Sb  10Bf  10Sw  10Mr  10By  10,Bf  50Sb  30Bw  20,42
