Group,Attribute,Type,Null_value,Empty_string,Not_applicable,Out_of_range,Not_in_set,Invalid_value,Precision_too_high,Neg_infinity,Pos_infinity
HDR,HEADER_ID,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,JURISDICTION,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,OWNER_TYPE,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,OWNER_NAME,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,INVENTORY_TYPE,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,INVENTORY_VERSION,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,INVENTORY_MANUAL,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,SOURCE_DATA_FORMAT,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,ACQUISITION_DATE,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,DATA_TRANSFER,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,RECEIVED_FROM,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,CONTACT_INFO,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,DATA_AVAILABILITY,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,REDISTRIBUTION,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,PERMISSION,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,LICENSE_AGREEMENT,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,SOURCE_DATA_PHOTOYEAR,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
HDR,PHOTOYEAR_START,integer,-8888,NA,-8886,-9999,NA,-9997,NA,NA,NA
HDR,PHOTOYEAR_END,integer,-8888,NA,-8886,-9999,NA,-9997,NA,NA,NA
CAS,CAS_ID,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NA,INVALID,NA,NA,NA
CAS,ORIG_STAND_ID,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
CAS,STAND_STRUCTURE,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
CAS,NUM_OF_LAYERS,integer,-8888,NA,-8886,-9999,NA,-9997,NA,NA,NA
CAS,IDENTIFICATION_ID,integer,-8888,NA,-8886,-9999,NA,-9997,NA,NA,NA
CAS,MAP_SHEET_ID,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NOT_IN_SET,INVALID,NA,NA,NA
CAS,GIS_AREA,double precision,-8888,NA,-8886,-9999,NA,-9997,-9996,NA,NA
CAS,GIS_PERIMETER,double precision,-8888,NA,-8886,-9999,NA,-9997,-9996,NA,NA
CAS,INVENTORY_AREA,double precision,-8888,NA,-8886,-9999,NA,-9997,-9996,NA,NA
