ogc_fid,wkb_geometry,nid,waterdefin,permanency,isolated,shorelinew,id_date,waterid,maximumwat,waterlevel,perimeter,surfacewat,datasetnam,watershedc,validityda,acquisitio,completely,planimetri,nationalpr,nb_provide,nameid1,nameid2,localnamei,name1,name2,localname,impoundmen,wateruse,sdeowner_w,shape_leng,shape_area,src_filename,stdlab,datasrc,datayr,plu,slu,status,lc,globalid,wloc,wc,wri,im,vt,spvc,water_code,watershed,fst,sitei,voli,origin,trt,trtyr,h1,h1yr,h2,h2yr,h3,h3yr,h4,h4yr,rf,rfyr,si,siyr,untreati,lpriority,l1datasrc,l1datayr,l1funa,l1estabyr,l1aryr,l1s1,l1ds1,l1pr1,l1s2,l1ds2,l1pr2,l1s3,l1ds3,l1pr3,l1s4,l1ds4,l1pr4,l1s5,l1ds5,l1pr5,l1ds,l1cci,l1cc,l1vol,l1ba,l1pstock,l1vs,l1ht,l1dc,l1sc,l2datasrc,l2datayr,l2funa,l2estabyr,l2aryr,l2s1,l2ds1,l2pr1,l2s2,l2ds2,l2pr2,l2s3,l2ds3,l2pr3,l2s4,l2ds4,l2pr4,l2s5,l2ds5,l2pr5,l2ds,l2cci,l2cc,l2pstock,l2nstock,l2vs,l2ht,l2dc,harv_id,plant_id,thin_id,lharvtrt,lic_key
669262,\x010600000001000000010300000001000000290000000d52d46aeeb23f4112f9b6f41fbe3241eed5924deab23f41c5efa67210be3241911ada97d7b23f41a90ff49ce0bd32411079de49cfb23f410e3889f5cabd3241cf620595c8b23f41174c1079cbbd3241112f30d8a3b23f4182ab8b6fb6bd32412007783e8eb23f411e191b3eb4bd32411c164ccd7eb23f41bb321edcb8bd3241871f513c79b23f413068b5a3b3bd32417fdd06e077b23f4186f15624abbd324148015eb280b23f411f4814d3a0bd3241077055fd60b23f418293ca0f92bd32417c873a1258b23f41dce5b5a988bd3241ad3af5c453b23f419b67063f78bd32412796bd6e56b23f417bc5511e67bd3241791fe28968b23f41b1f74b6551bd3241f6a3e9b971b23f41a113334632bd324147bbfc5d7cb23f41fbf6a84f1ebd32416a9fe69688b23f413f7e90e017bd3241a60de63285b23f41e027946b0fbd3241c8df02b247b23f4122e416146fbc32417a25832b31b23f417ef1cbfa34bc324162ea7d47feb13f413e1fed8549bc324143b556b8e3b13f4105855f6a4fbc3241dbff1ac8b7b13f41cf61088f60bc324123fa6528bfb13f4101c6cdd173bc32414599d191cdb13f415c214e6d99bc324118bfb38601b23f41c1a71cb885bc3241565d8f331eb23f41c294fd22d5bc3241ca5079c9eab13f412851fdade5bc3241f7bf401befb13f412e6c50eff0bc3241c81d80f521b23f41ec151dace5bc324140551e542bb23f417111ff05febc3241c13d8e7a3cb23f41c6b3af69f9bc3241b824ee3643b23f41cbee834708bd3241ad6e0d162fb23f41b2491f8f0ebd3241ad09c22f4eb23f41f22454a25bbd3241cd74560b3ab23f41a27e99556cbd3241e736701a21b23f4100507b7373bd3241b110317476b23f418eeca62d52be32410d52d46aeeb23f4112f9b6f41fbe3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1663.23886996,46801.2869999,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
669321,\x0106000000010000000103000000010000000b000000289e033803b23f41fce84f72bebb3241090a00cafcb13f414b55adf1abbb3241e9a0d4a2bcb13f4120022c13c3bb3241d7207cdec4b13f411b024ed1debb324107495d6a8fb13f413a9b1686f7bb3241a3bdd5fa9cb13f414cfd959c1abc32416739b5b5a4b13f41d4372ec82ebc32412be8a44ad6b13f417d67720a18bc3241adf6e4471cb23f412f12c817ffbb32419b0f8f151cb23f41f379cc95febb3241289e033803b23f41fce84f72bebb3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.141223088,9662.80950002,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
739235,\x0106000000010000000103000000010000001f0000003fb07f14ee434041978b6b67a0aa324155fce340ff434041bbd3b96c6faa32419f4e18f6fc4340416f3619496caa32418d2db5e7f0434041a15c05c85baa32414a7079cbf0434041e3806aa25baa3241b4f9d12dd94340419580d9cf38aa32417be7ecbbc1434041d9ce10d416aa32412bf5e473bf43404137172a8613aa3241cab1c7f0ba434041359312fc0caa32418db68286b743404170f98f3f08aa324125edd9d9ab434041e65dc29b2daa32415c014f15ab43404113dcc7514baa32412bc33783a1434041ae9a6d8467aa324168ec90c2a343404151bc08eb6baa3241151ea0fea743404142c7668073aa3241b8a61571bc4340418565372954aa32418b4c074bcc4340416b68a3d76daa324144d8b71ebb43404131789c5398aa3241c3309278bb434041d450bc0999aa324137e36a50cc434041cbd4d63fbeaa3241d5afbf8fd143404118128b96cbaa32414d8b8fbbd1434041643e9805ccaa32413130a995d6434041a1dae89ec3aa32411ebe99f1d74340414d22f135c1aa3241819ab63bdb4340419a94e2d9bbaa32418e92ce79de434041bdd32d7ab7aa32412ea6bf12e24340414aa3a715b3aa3241fcf759dbe6434041aa8886e7aaaa3241cc9c7408e943404162c1459ea6aa32414dcc735eeb434041eddde52ba3aa32413fb07f14ee434041978b6b67a0aa3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.631412887,15997.1155503,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
737142,\x0106000000010000000103000000010000001d0000005e062ce543284041df49f8e8ff1b3241e2c6e7484028404107c54830da1b3241a178029638284041e710f17ac41b324162b0d17c11284041eaffab2c941b324173158d46032840418fcdf025831b3241dda79bc6fa274041441890b19e1b3241500b5709f52740416458c795a01b32411470db55df2740410c441d95931b32415fcc0ecbdc274041072fa7436c1b32411eeae378d52740411d0c4f30711b3241725c5092d02740410ff02da9741b324146fef763cb2740414705871a7f1b32412b7f03eec92740412a69f45c861b3241648c00dec92740416975a7a7861b324152d9f17ec4274041a3b1a2aa9d1b324134a0679dc32740418f4fbe05a91b3241dc63c37ac8274041ca624f76b41b32412cf295700a2840419024c1e5fe1b3241b401ac8f0c284041f683fb52011c3241bcfe886e18284041159613b1d41b3241ae1575072b284041181d00d2eb1b32418a7456cc272840417872e0ea061c3241a2dd43162128404182c819c6181c32419ad2754e292840418a29ac2a221c3241fc7a469e36284041f7e6f6f72f1c3241086f83a23c284041d34a8ac6301c32410f0d953840284041deb592722a1c3241287ad4e64328404132e9b7dd171c32415e062ce543284041df49f8e8ff1b3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833.41934284,20464.2079002,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
737186,\x0106000000010000000103000000010000003b000000bf0e1408933b4041ba0a8e9d353d324120e80aaa8f3b4041ec570b292e3d3241460b9e73833b4041a4eb7a23f43c3241c63f24527d3b4041c8ca382cc13c32410c71eb6a7c3b4041629ff4acb93c32410cdff38e6a3b4041ce1392d7b83c3241f75883c1653b4041dfa881156c3c324158e1b0656a3b40414d492b9b673c324192455ab9663b40411c22e3a55c3c32415f2ea2f3643b4041c5384c415e3c3241e074e57f553b404109312b643d3c3241ebe8d1a8433b404117f8e0ad283c32415f89bc74353b40417e39013d0d3c324190318c05f43a40416dceb0f1bf3b324101a48475df3a40416da1c3e2b63b324196d01154bf3a4041eff9de3fb33b3241bfb6f4f29f3a404169f13db1bc3b32411cea74fb983a4041b34e5f1bd53b3241960a675e983a40410b396ba3d83b3241d4d80e84983a40417b3fdb5dd93b3241616f255b9a3a40411f067d6de23b32411b76d23a9c3a4041fc2574d1e53b3241e5f168e4a53a4041e0ee8775ea3b3241c1a5b8bdac3a404133f342e6ef3b3241a7a7ac29b63a4041ebee5331fa3b3241eab34008be3a4041be399a8e073c3241489bc408c73a404192c928ca133c32410eb61544d03a404162875e29253c3241357009f3d23a4041ca06bdbb2c3c3241ef697616d43a4041c991938f393c3241bb3293d6ce3a4041d327df37483c32414dccee7cca3a40418776ea234b3c32410d7ea327ca3a404106bd3e724a3c32414e9d4949bf3a404169ceef805f3c3241c59032e0c23a4041f4fc50036f3c324135605647d03a4041001ac969733c324186737d48e63a4041e891a2f3873c3241f36335d5f93a4041e42d1b3ca43c32415e569a73253b4041d797c459e33c3241ae76a580293b40414208c350f53c3241b9689d9b283b4041093c17c60a3d3241da7a2405343b40414b0241c12d3d32414fd27147363b40410de6c7743d3d32410adc6829383b4041b5c43b8d4a3d32416686148a353b4041e40d8b09533d3241a025060c353b40415117eb55553d32417d0a16ee3a3b4041ccd61b00563d3241443436a4453b404166030333573d32417b0156ca453b40412d5e943a573d324185341fc6603b4041b6da52445c3d32411169b1dc603b40415107624b5c3d324178973c1f613b4041cb0e785f5c3d32418b663d40613b40413c7ea96a5c3d324104ca9e67743b404148c0c39e643d3241ee774189743b4041e28a59ad643d32416f9260ca743b4041d27cb8d3643d324124fe46ed743b404179f216e9643d32419dbb957b7a3b4041dbe0afe1683d3241bf0e1408933b4041ba0a8e9d353d3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553.85718705,93693.4762998,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
737715,\x0106000000010000000103000000010000002f000000332cb3ce163c4041627e600d813e324178cab298163c40410666070a6c3e3241af41e4e0153c40410e38beb64c3e3241a609fc0e153c4041a75acce4283e3241ad60c80d153c404102f340bf283e3241f34ae00d153c40419e97475d283e3241b6c5d917153c40416898be5c243e324129107a46153c4041d6ac1419133e324160750c33153c404134540c99f53d3241170a6362153c404188fc34aac93d3241f1c02ae7143c4041bb56f156953d3241a77be4e7143c4041ea605cf8943d32414eaf2d2b153c4041b104987a823d3241a79cdd93153c404128f93ee7623d3241605aedf6153c4041455c7cee283d32415bc1dfe1153c4041999e2d8d073d3241074682cf153c4041999491aded3c3241bbf13bd0153c4041d7affc4eed3c3241dbd70ceb153c4041c017dfaae83c324107168859163c4041b9c69cd5d43c324117ce5dc3153c40417cf9bc29ba3c3241fa0c7335063c4041991d37afbc3c3241fab0a18dfd3b4041b7454999c33c32416d206581fc3b40414702d520c23c32416b46898dfc3b40416f606c8bc23c32413e44799afe3b40415f8f676cd23c32417e492f9ffe3b4041b8683995d23c324195e09b7f013c4041151c61b8ef3c32415ee048b1053c404180caccae1d3d32415cb91476083c40414ae2e55f363d3241d85cf7140a3c404145e690d4453d3241852852780c3c404186f5119a5c3d3241a348667c0c3c4041cc7e7fbf5c3d3241e5ca1ea10f3c404115bafc63813d3241bce53bc1113c4041f83b4f8da03d32415a50b3c3113c4041d84aa3b9a03d32411912eac5113c404119b657f9a03d32414430c5d0113c404195f65b0ea43d324106df5f46123c4041f8956552c43d32417451c946123c40411d2d9e8dc43d3241c448f770113c40417acbbadefc3d324182ff4ed70f3c4041e4ee11812f3e3241b98f3cd90e3c404124d98b45593e3241c101413c0d3c404184adce99853e3241b223124e0d3c4041b041c1fca73e3241424a434f0d3c4041bcd52ce0ae3e3241332cb3ce163c4041627e600d813e3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059.24681822,9133.62544978,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
737910,\x0106000000010000000103000000010000000c000000ddddb2cf71404041e3996017167b3241a62c2c526e404041be8b664a107b32419ee1f9805e404041b03c6519fe7a32419cc9ab98574040412066740af57a3241dd08f7724e4040417881c69de67a324144a4756141404041a18516b6cf7a324157453bd836404041a8bb5413e87a3241f909664e40404041350c0df7f47a3241f9f2a9fc5d404041f43176d31b7b32417f8ebd175e4040416082f7f71b7b32415e8de494674040413fccf149297b3241ddddb2cf71404041e3996017167b3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.306809792,3262.05104993,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
738214,\x0106000000010000000103000000010000000e000000bacc1edfeb0a4041c8181dadfc8332419ff7e5a7e90a404124f415e5f18332415318eca7d30a4041b275f2cc288432414b285b9cd30a4041b73b35ec28843241d4447181c50a404136afd2ef48843241a57bb793d50a4041e148cb885884324180ad4ecfdb0a40411d29ce1848843241552a90f1db0a4041b2db04c347843241fdeb7f1edc0a40419bd2f65d4784324174bed91ee60a4041145334ca3284324195d4e64ae60a4041275b2475328432418beebae1e60a404136a1ed62318432410fb5c4a5e60a4041dd60925a1f843241bacc1edfeb0a4041c8181dadfc833241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.329987418,2907.66460002,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
738221,\x0106000000010000000103000000020000004a000000f71eb2223f2840412501d6353c1c32416ba156f53e2840418d09925f3c1c3241fb902dc63e2840410aa5d2843c1c3241a1e5eb963e284041203d62a43c1c3241ff973a653e284041024312bc3c1c324118339c343e284041128d28cf3c1c324154a017023e284041c76612d83c1c3241ea811cd03d2840419a62afde3c1c3241553e7a963d2840415d8c5cdb3c1c32418c3b05a6352840418d24c0cc3b1c3241e3cd0f813528404195494cc63b1c3241c643b24e35284041a43b25b63b1c324149a2671d35284041917164a13b1c324121da8dec3428404142c6a5843b1c32418dfac6bc34284041f65e4d633b1c3241ee779c8e34284041975d0e3b3b1c3241ab27df74342840417a3b0e233b1c32414072cd7f262840414362deaa2c1c324129a4476b262840415982ee942c1c3241b617c37b0728404184dbf539091c3241e23a3048ff274041370e85f8ff1b32418afbe7d2f427404108f6677a241c324174bfd95fdd274041f526dc3e081c3241c3eb6ccfe0274041a57e9495dd1b324126deed0fc527404166b34543be1b3241d13e45edc42740416b998d1abe1b32413bdbdcc2c42740410fb334e2bd1b3241e9563c9bc4274041bc770ca4bd1b3241213eda75c4274041f8c56162bd1b3241a4801452c42740411379d019bd1b32413d1be83bc4274041615754e6bc1b3241aa1bc51abe274041c885847cae1b3241416ec8f7bd2740419176461eae1b32414bf1bddabd27404173c82dcbad1b324177d7a6c1bd2740419d0b5d73ad1b324118adf9abbd274041251e2119ad1b324132ee8a98bd274041f5b962bbac1b3241ada2b189bd274041666b505cac1b3241de4e8d7cbd2740418e8408fcab1b324183ead272bd2740411c6d5599ab1b3241d901f96bbd274041a0038436ab1b3241988cb469bd27404190af5ed2aa1b3241150f2569bd27404144c3036daa1b3241811d186cbd2740414ea9ee0aaa1b32411ca6c471bd2740418526ccc1a91b3241fe862899be27404137da1ad99a1b3241f3bde9a3be274041a7a1e4679a1b3241dad24bb1be2740415afdef099a1b324181638ec1be274041fa06ddab991b3241faf3dcd5be2740418004c34e991b3241d399f759c42740411daa0fad811b3241378e4212c5274041494559177e1b3241367c2e4db42740411098942b691b3241a820b41b9b274041758edd094b1b32414f5dcfa292274041d93664d6821b32415a3abf319527404185477a9dbf1b3241dcaa4fe79c274041ad2051f4c91b32418f922db9a327404149eb5e80d21b324123e3910fad2740415b7072a2db1b3241e498f357b22740411cbdeafee31b3241dd2d2c96c9274041c825e296011c32414e482fa6db274041b22b9b9e141c3241e90bf9bcdf27404163c462591c1c3241990874c2f7274041bc2e073a361c3241692753510a28404155154dc34e1c3241a4f2afd7202840412e1cff736c1c3241e0d94ab923284041a36330646f1c32418b51ca4c28284041f2faf8b15e1c3241140c71d3382840410318326a4a1c3241ff1c25f63c2840413815482d4d1c3241e9b3641a41284041cac891194d1c32415c7cc3d7422840419a7196f74d1c3241f087ec7a442840416f4e14b34d1c3241f71eb2223f2840412501d6353c1c324106000000e8495823a427404143f5f0fc891b3241d5edb648b0274041b522af5e831b32413c2fe457b72740416233e1aea11b32411386895ab327404100c34b55ba1b3241e0dffee7a327404186f004eeab1b3241e8495823a427404143f5f0fc891b3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223.90713332,21240.9515497,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
738870,\x0106000000010000000103000000010000000c000000e833862612254041182d112d952d3241063c70110b254041e67a3816752d3241ba0fe2a903254041f0514c1d7e2d324159a6e481fe244041724ab0aa742d3241b81c481afc244041821cbfc4762d32416dd7846bf82440414f6d76ae6c2d3241956da158ea244041c2934e9b632d3241ec97ddb1e2244041dda57457732d3241e677d82be92440411e693527882d32412c657d330e25404135826e69ac2d324180314c02132540419fea3613962d3241e833862612254041182d112d952d3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.106168419,3430.03540001,geonb_forest-foret,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
